page_a,page_b,first_pass_reason,second_verdict,second_evidence,confidence,classification,reach,tier,licence_ground,resolved_page_b,page_b_source,name_a,name_b,exception_classes,corpus_confirms,existing_relations,first_pass_actions
K1:K0U68Q2TXA,K1:L0378Q1565,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",merge,R5 FDA active moiety: GSRS gives Corticotropin (K0U68Q2TXA) as the active moiety of Corticotropin zinc hydroxide,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K1:L0378Q1565,page_b,Corticotropin,Corticotropin zinc hydroxide,,moiety_match,,review
K1:LZB1G2I725,K1:30KYC7MIAI,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4w Aspartic acid appears only as a fragment of Arginine Aspartate, not as its parent moiety",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:30KYC7MIAI,page_b,Aspartic acid,Arginine Aspartate,,structure_conflict,related_form_of,
K1:M0KG633D4F,K1:T2I5UM75DN,the evidence links the two pages but no rule in the spec's order decides them,separate,R4z shared parent IOVCWXUNBOPUCH has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:T2I5UM75DN,page_b,Sodium Nitrite,Nitrous Acid,,structure_conflict,,remainder
K1:M4F288ZCTR,K1:ZZ45AB24CA,same normalised name and no structure on either page; the identity rules give no evidence that decides them,separate,"R9a two separately registered FDA substances: HEPARIN CALCIUM ['M4F288ZCTR'] and Heparin sodium ['ZZ45AB24CA'], preferred names HEPARIN CALCIUM and HEPARIN SODIUM; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:ZZ45AB24CA,page_b,HEPARIN CALCIUM,Heparin sodium,,,,review
K1:M4F288ZCTR,K2:ZFGMDIBRIDKWMY-PASTXAENSA-N,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: HEPARIN CALCIUM ['M4F288ZCTR'] and SODIUM HEPARIN ['ZZ45AB24CA'], preferred names HEPARIN CALCIUM and HEPARIN SODIUM; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K2:ZFGMDIBRIDKWMY-PASTXAENSA-N,page_b,HEPARIN CALCIUM,SODIUM HEPARIN,,,,remainder
K1:MA10QYF1Z0,K1:3A9RD92BS4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Maltol as the parent substance of Ferric maltol, but it records the active moiety as FERRIC CATION (91O4LML611); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:3A9RD92BS4,page_b,Maltol,Ferric maltol,,structure_conflict; moiety_match,related_form_of,
K1:MQG94M5EEO,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:LGW5H38VE3 -> K1:MQG94M5EEO; the two names denote one live page (Tesamorelin),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Tesamorelin,,,,,
K1:MQG94M5EEO,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:LGW5H38VE3 -> K1:MQG94M5EEO; the two names denote one live page (Tesamorelin),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Tesamorelin,,,,,
K1:MU72812GK0,K4:creatine gluconate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Creatine Gluconate = Creatine + gluconate,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K4:creatine gluconate,page_b,Creatine,Creatine Gluconate,,,,review
K1:NPT6P8P3UU,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Bitartrate (KYKNRZGSIGMXFH-ZVGUSBNCSA-M) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,,none recorded,Potassium Bitartrate,,,,,
K1:NPT6P8P3UU,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4a Potassium Bitartrate is TARTARIC ACID (FEWJPZIEWOKRBE) plus counter-ions or solvate, but FDA records the active moiety of Potassium Bitartrate as POTASSIUM CATION (295O53K152), not TARTARIC ACID; the counter-ion is the substance being recorded and the organic acid is its carrier",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,Potassium Bitartrate,TARTARIC ACID,,structure_conflict; moiety_match; fragment_match,related_form_of,remainder
K1:QX10HYY4QV,K4:sesame,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Sesame Oil and Sesame are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K4:sesame,page_b,Sesame Oil,Sesame,,,,remainder
K1:R1B526117P,K1:94ZLA3W45F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6d GSRS names Arginine as the parent substance of HEME ARGINATE, yet nothing in the names or structures makes one a salt or solvate of the other; the link runs through a coformer",medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:94ZLA3W45F,page_b,Arginine,HEME ARGINATE,,structure_conflict; moiety_match,related_form_of,
K1:RU45X2JN0Z,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Nitrate (FGIUAXJPYTZDNR-UHFFFAOYSA-N) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,,none recorded,Potassium Nitrate,,,,,
K1:S71T8B8Z6P,K1:QZV2W997JQ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: CHROMIUM PICOLINATE ['S71T8B8Z6P'] and Picolinic Acid ['ALO92O31SE', 'QZV2W997JQ'], preferred names CHROMIUM PICOLINATE and ZINC PICOLINATE; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:QZV2W997JQ,page_b,Picolinic Acid,CHROMIUM PICOLINATE,,structure_conflict,related_form_of,
K1:SFW1D987QV,K1:TE7660XO1C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: FERROUS BISGLYCINATE ['SFW1D987QV'] and Glycine ['681VJX72FE', 'TE7660XO1C'], preferred names FERROUS BISGLYCINATE and ZINC GLYCINATE; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:TE7660XO1C,page_b,FERROUS BISGLYCINATE,Glycine,,structure_conflict,related_form_of,remainder
K1:SOI2LOH54Z,K1:13S1S8SF37,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R4z shared parent PTFCDOFLOPIGGS has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:13S1S8SF37,page_b,Zinc Cation,Zinc Oxide,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:SY7Q814VUP,K1:UV63W89SJM,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons BHPQYMZQTOCNFJ vs POULHZVOKOAJMA; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:UV63W89SJM,page_b,CALCIUM,(ACETATO-O)(DODECANOATO-O)CALCIUM,,structure_conflict,,remainder
K1:SY7Q814VUP,UNKEYED:existing:calcium-potassium-phosphate-citrate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,R9 no shared identifier and no structure pair to compare (CALCIUM vs Calcium Potassium Phosphate Citrate); UNIIs ['SY7Q814VUP'] vs none; InChIKeys OYPRJOBELJOOCE-UHFFFAOYSA-N vs none,low,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,UNKEYED:existing:calcium-potassium-phosphate-citrate,page_b,CALCIUM,Calcium Potassium Phosphate Citrate,,,,review
K1:SZB83O1W42,K1:94ZLA3W45F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:SZB83O1W42 is a mixed salt whose active moiety is Pidolic acid (SZB83O1W42); Arginine is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:94ZLA3W45F,page_b,Arginine,Pidolic acid,,structure_conflict,related_form_of,
K1:TLE294X33A,K1:2WTB3V159F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: PRUSSIAN BLUE INSOLUBLE ['TLE294X33A'] and Hydrogen Cyanide ['2WTB3V159F'], preferred names FERRIC FERROCYANIDE and Hydrogen cyanide; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:2WTB3V159F,page_b,Hydrogen Cyanide,PRUSSIAN BLUE INSOLUBLE,,structure_conflict,related_form_of,
K1:TW371I5GLO,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6d GSRS names Choline as the parent substance of Salcolex, yet nothing in the names or structures makes one a salt or solvate of the other; the link runs through a coformer",medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:N91BDP6H0X,page_b,Choline,Salcolex,,structure_conflict; moiety_match,related_form_of,
K1:U6WSN5SQ1Z,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4x §1 the removed fragment is not a counter-ion: Zinc Gluconate carries Zn that Gluconic Acid does not; shared organic fragment RGHNJXZEOKUKBD is the ligand, not the substance",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:R4R8J0Q44B,page_b,Gluconic Acid,Zinc Gluconate,metal complex,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:UOW2C71PG5,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:UPC6BTX7PY -> K1:UOW2C71PG5; the two names denote one live page (Inclisiran),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Inclisiran,,,,,
K1:UOW2C71PG5,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:UPC6BTX7PY -> K1:UOW2C71PG5; the two names denote one live page (Inclisiran),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Inclisiran,,,,,
K1:WYQ7N0BPYC,K1:K3Z4F929H6,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons PWKSKIMOESPYIA vs KDXKERNSBIXSRK; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:K3Z4F929H6,page_b,Lysine,Acetylcysteine,,structure_conflict,related_form_of,
K1:YKH834O4BH,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons UCTWMZQNUQWSLP vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,TARTARIC ACID,Epinephrine,,structure_conflict,related_form_of,
K1:YSE9PPT4TH,K1:B7SG5YV2SI,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: Sodium Hyaluronate ['YSE9PPT4TH'] and HYALURONIC ACID (NON-ANIMAL STABILIZED) ['B7SG5YV2SI'], preferred names Sodium Hyaluronate and HYALURONIC ACID (NON-ANIMAL STABILIZED); neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:B7SG5YV2SI,page_b,HYALURONIC ACID (NON-ANIMAL STABILIZED),Sodium Hyaluronate,,,,
